English,Russian,Armenian,French
Bug,Ошибка,Սխալ,Punaise
Beatitude,Блаженство,Երանություն,Béatitude
Bureaucrat,Бюрократ,Բյուրոկրատ,Bureaucrate
Balloon,Воздушный шар,Փուչիկ,Ballon
Bathtub,Ванна,Լոգարան,Baignoire
Beer,Пиво,Գարեջուր,Bière
Bunkmate,Напарник,Բանկընկեր,Matelot de lit
Bayly,Бейли,Բեյլի,Bayly
Bower,Бауэр,Բաուեր,Tonnelle
Bang,Хлопнуть,Պայթյուն,Claquer
Beatification,Беатификация,Երանացում,Béatification
Burglary,Кража со взломом,Գողություն,Cambriolage
Boomerang,Бумеранг,Բումերանգ,Boomerang
Battery,Батарея,Մարտկոց,Batterie
Beatnik,Битник,Բիթնիկ,Beatnik
Blueprint,План,Նախագիծ,Plan
Button,Кнопка,Կոճակ,Bouton
Braggadocio,Браггадосио,Բրագադոցիո,Braggadocio
Bench,Скамья,Նստարան,Banc
Buckle,Пряжка,Կեռիկ,Boucle
Basement,Подвал,Նկուղ,Sous-sol
Banter,стеб,Կատակերգություն,Plaisanter
Burley,Берли,Բերլի,Burley
Bosom,Грудь,Ծոց,Sein
Bestowal,Дар,Պարգևատրում,Don
Bliss,Блаженство,Երանություն,Bonheur
Boatman,Лодочник,Նավակավոր,Passeur
Bewilderment,Недоумение,Տարակուսանք,Perplexité
Billboard,Рекламный щит,Գովազդային վահանակ,Panneau d'affichage
Blend,Смешивать,Խառնել,Mélange
Ban,Бан,արգելել,Interdire
Blaze,Блейз,Բլեյզ,Flamber
Boatel,Ботель,Բոատել,Boatel
Bit,Кусочек,Բիթ,Bit
Bumper,Бампер,Բամպեր,Pare-chocs
Bullhide,бычья кожа,Բուլհայդ,Peau de taureau
Block,Блокировать,Արգելափակել,Bloquer
Butyrate,Бутират,Բուտիրատ,Butyrate
Border,Граница,Սահման,Frontière
Bail,Залог,Գրավ,Caution
Brake,Тормоз,Արգելակ,Frein
Beautician,Косметолог,Գեղեցկուհի,Esthéticien
Bodyguard,Телохранитель,Թիկնապահ,Garde du corps
Breakup,Расставаться,Բաժանվել,Rompre
Barbarian,Варвар,բարբարոս,Barbare
Baseballight,Бейсбол,Բեյսբոլի լույս,Baseballlight
Brochure,Брошюра,Գրքույկ,Brochure
Barley,Ячмень,Գարի,Orge
Bachelor,Холостяк,Բակալավրիատ,Célibataire
Bicarbonate,Бикарбонат,Բիկարբոնատ,Bicarbonate
Borderline,Пограничный,Սահմանային գիծ,Limite
Burr,Берр,Բյուր,bavure
Brokerage,Брокерские услуги,Միջնորդություն,Courtage
Banker,банкир,Բանկիր,Banquier
Blink,мигать,Թարթել,Cligner
Bow,Поклон,Խոնարհվել,Arc
Baby,малыш,Երեխա,De bébé
Bogeymen,Призраки,Բոգեյմեններ,Croquemitaines
Brood,Выводок,Ծնունդ,Nichée
Bridegroom,Жених,Փեսան,Jeune marié
Byproduct,Побочный продукт,Ենթամթերք,Sous-produit
Bowl,Чаша,գունդ,Bol
Benevolence,Доброжелательность,Բարեգործություն,Bienveillance
Blower,воздуходувка,Փչող,Ventilateur
Burrow,Нора,Բերոու,Terrier
Breakthrough,Прорвать,Բեկում,Percée
Bravado,Бравада,Բրավադո,Bravade
Balm,Бальзам,Բալասան,Baume
Battlefront,фронт,Ճակատամարտ,Front de bataille
Backstitch,бэкстич,Հետեւի կար,Point arrière
Bedpost,Стойка кровати,Անկողնային սյուն,Colonne de lit
Belligerence,воинственность,ռազմատենչություն,Belligérance
Backyard,задний двор,Հետնաբակ,Arrière-cour
Beef,Говядина,Տավարի միս,Du boeuf
Birefringence,Двулучепреломление,Երկբեկում,Biréfringence
Backer,Сторонник,Աջակցող,Bailleur de fonds
Butterfat,молочный жир,Թագի ճարպ,Matière grasse
Baker,Бейкер,Հացթուխ,boulanger
Breakwater,Волнорез,Ճեղքող ջուր,Digue
Boatmen,Лодочники,Նավակավորներ,Bateliers
Bravery,Храбрость,Քաջություն,Bravoure
Ballplayer,Игрок в мяч,Գնդակահար,Joueur de balle
Ballroom,бальный зал,Պարահանդեսային դահլիճ,Salle de bal
Brook,Ручей,Բրուկ,Ruisseau
Benchmark,Ориентир,Ելակետային,Référence
Brassiere,Лифчик,Կրծկալ,Soutien-gorge
Businessmen,Бизнесмены,Գործարարներ,Les hommes d'affaires
Bookcase,Книжный шкаф,Գրապահարան,Bibliothèque
Businessman,Бизнесмен,Գործարար,Homme d'affaire
Birdbath,Птичья ванна,Թռչունների լոգանք,Bain d'oiseau
Brawle,драка,Ծեծկռտուք,bagarre
Bibliography,Список используемой литературы,Մատենագիտություն,Bibliographie
Bonfire,Костер,Խարույկ,Feu
Bonus,Бонус,Բոնուս,Prime
Budget,Бюджет,Բյուջե,Budget
Blood,Кровь,Արյուն,Du sang
Blog,Блог,Բլոգ,Blog
Barber,Парикмахерская,Վարսավիր,Coiffeur
Bulb,Лампа,Լամպ,Ampoule
Boundary,Граница,Սահման,Frontière
Blonde,Блондинка,Շեկ,Blond
Byinge,Бинге,Բինգե,Byinge
Bridesmaid,подружка невесты,Հարսնաքույր,Demoiselle d'honneur
Beat,Бить,Ծեծել,Battre
Betterment,Улучшение,Բարելավում,Amélioration
Bonnet,капот,Կափարիչ,Bonnet
Birthcontrol,Контроль рождаемости,Ծննդյան հսկողություն,Contrôle des naissances
Behaviour,Поведение,Վարքագիծ,Comportement
Backside,Зад,Հետևի կողմը,Arrière
Bombardment,Бомбардировка,Ռմբակոծություն,Bombardement
Bracelet,Браслет,Ապարանջան,Bracelet
Boldness,Смелость,Համարձակություն,Audace
Brazil,Бразилия,Բրազիլիա,Brésil
Babe,детка,Բեյբ,bébé
Boot,Ботинок,Կոշիկ,Démarrage
Barkeep,Бармен,Barkeep,Barman
Brew,Варить,Brew,Brasser
Borer,Бурер,Բորեր,Foreur
Buffoon,шут,Բուֆոն,Bouffon
Beneficiary,Бенефициар,Շահառու,Bénéficiaire
Ballast,балласт,Բալաստ,Ballast
Brutality,жестокость,Դաժանություն,Brutalité
Brothel,Бордель,Բրոդել,Maison de prostitution
Bird,Птица,Թռչուն,Oiseau
Beggar,нищий,Մուրացկան,Mendiant
Blackberry,Ежевика,Մոշի,Mûre
Baseman,игрок с низов,Բեյսմեն,Joueur de base
Beach,Пляж,Լողափ,Plage
Bleat,Блеять,Բլատ,Bêler
Back,Назад,Ետ,Arrière
Blemish,Порок,Արատ,Défaut
Blackmailer,Шантажист,Շանտաժիստ,Maître chanteur
Beverage,напиток,Ըմպելիք,Boisson
Boss,Босс,Բոսս,Chef
Brass,Латунь,փողային,Laiton
Brotherhood,Братство,Եղբայրություն,fraternité
Blot,Блот,Բլոտ,Tache
Battle,Боевой,Ճակատամարտ,Bataille
Bourbon,Бурбон,Բուրբոն,Bourbon
Bayleefe,Бейлиф,Բեյլիֆ,Bayleef
Boil,Кипятить,Եռացնել,Bouillir
Bounce,Подпрыгивать,Ցատկում,Rebond
Bicep,Бицепс,Bicep,Biceps
Bicycle,Велосипед,Հեծանիվ,Vélo
Bite,Кусать,Կծում,Mordre
Biennium,Двухгодичный период,Երկամյա,Biennium
Buddy,Приятель,Ընկեր,Copain
Bookshelf,Книжная полка,Գրքերի դարակ,Étagère à livres
Backlash,Люфт,Հակազդեցություն,Contrecoup
Bid,Делать ставку,Հայտ,Offre d'achat
Banns,Баннс,Արգելքներ,Bans
Barbital,Барбитал,Բարբիտալ,Barbital
Bequest,завещание,Կտակ,Legs
Burglar,Грабитель,Կողոպտիչ,Cambrioleur
Benefaction,Благотворительность,Բարություն,Bienfait
Brazier,Мангал,Մուրաբա,Brasero
Batter,Тесто,Խփել,Battre
Brigade,Бригада,Բրիգադ,la brigade
Banana,Банан,Բանան,banane
Brow,бровь,Հոնքեր,Front
Bogey,пугало,Բոգեյ,Bogey
Broth,Бульон,Արգանակ,Bouillon
Barium,Барий,Բարիում,Baryum
Boarder,Пансионер,սահմանապահ,Pensionnaire
Begetter,Родитель,Ավելի լավ,engendreur
Bag,Мешок,Պայուսակ,Sac
Bastion,Бастион,Բաստիոն,Bastion
Buckskin,Оленья кожа,Բուկսկին,Peau de daim
Betrothal,обручение,Նշանադրություն,Fiançailles
Bulletin,Бюллетень,Տեղեկագիր,Bulletin
Bloodshed,Кровопролитие,Արյունահեղություն,Effusion de sang
Birch,Береза,Birch,Bouleau
Bill,Билл,Բիլլ,Facture
Brushwork,Кисть,Վրձինագործություն,Coup de pinceau
Boulder,Боулдер,Բուլդեր,Rocher
Beavertail,бобровый хвост,Beavertail,Queue de castor
Boost,Увеличение,Բարձրացնել,Augmenter
Brief,Краткий,Կարճ,Bref
Beep,Звуковой сигнал,Ձայնային ազդանշան,Bip
Basis,Основа,Հիմք,Base
Bourgeoisie,Буржуазия,Բուրժուազիա,Bourgeoisie
Bounty,Награда,Բունտի,Prime
Breeze,Ветер,Զեփյուռ,Brise
Bark,Лай,Հաչել,Aboyer
Bedspread,Покрывало,Անկողնային ծածկոց,Couvre-lit
Basin,Бассейн,Ավազան,Bassin
Banishment,Изгнание,Վտարում,Bannissement
Bison,Бизон,Բիզոն,Bison
Bureaucratization,Бюрократизация,Բյուրոկրատացում,Bureaucratisation
Bard,Бард,Բարդ,Barde
Builder,Строитель,Շինարար,Constructeur
Barrier,Барьер,Արգելք,Barrière
Booze,Выпивка,Խմիչք,Biberonner
Baptistery,Баптистерий,Մկրտարան,Baptistère
Bullet,Пуля,Փամփուշտ,Balle
Brawn,мускулистый,Բրաուն,vigueur
Bloc,Блок,Բլոկ,Bloc
Bondsman,Связной,Բոնդսմեն,Esclave
Borrower,Заемщик,Վարկառու,Emprunteur
Boatsmen,Лодочники,Նավակավորներ,Bateliers
Built,Построен,Կառուցված,Construit
Burlesque,Бурлеск,Բուրլեսկ,Burlesque
Breadth,Ширина,Լայնություն,Largeur
Buckboard,Бакборд,Տախտակ,Caillebotis
Break,Сломать,Ընդմիջում,Pause
Biplane,Биплан,Երկթիռ,Biplan
Better,Лучше,Ավելի լավ,Mieux
Background,Задний план,Նախապատմություն,Arrière plan
Believer,Верующий,Հավատացյալ,Croyant
Binder,связующее,Ամրակ,Liant
Ballerina,Балерина,Բալերինա,Ballerine
Bodyweight,Вес тела,Մարմնի քաշը,Poids
Buildup,Построить,Կառուցել,Accumuler
Badinage,Бадинаж,Բադինաժ,Badinage
Blast,Взрыв,Պայթյուն,Détruire
Boomtown,Бумтаун,Բումթաուն,Ville en plein essor
Bloom,Цвести,Ծաղկել,Floraison
Balance,Остаток средств,Հաշվեկշիռ,Solde
Blur,Размытие,Լղոզում,Se brouiller
Badge,Значок,Կրծքանշան,Badge
Bet,Делать ставку,Խաղադրույք,Pari
Bum,Бездельничать,Բամբասանք,Clochard
Battleground,Поле битвы,Մարտադաշտ,Champ de bataille
Bravura,Бравура,Բրավուրա,Bravoure
Buck,Бак,Բաք,mâle
Blackout,Блэкаут,Մթնշաղ,coupure électrique
Backlog,Отставание,Հետաքրքիր,Arriéré
Barnyard,скотный двор,Բարնարդ,Basse-cour
Butler,Дворецкий,Բատլեր,Majordome
Bystander,Свидетель,Անցորդ,Spectateur
Ballot,Бюллетень,Քվեաթերթիկ,Bulletin de vote
Booth,Бут,Կրպակ,Stand
Blazer,блейзер,Բլեյզեր,blazer
Backbend,Прогиб,Backbend,Backbend
Blue,Синий,Կապույտ,Bleu
Byword,Пословица,Կողմնակի բառ,Mot de passe
Blatancy,наглость,Բլատանտություն,La flagrance
Bottom,Нижний,Ներքևում,Fond
Banister,Перила,բազրիք,Rampe
Briefcase,Портфель,Թղթապանակ,Mallette
Bottle,Бутылка,Շիշ,Bouteille
Brushcut,Кустарник,Brushcut,Débroussailleuse
Brevity,Краткость,Հակիրճություն,Brièveté
Bunt,бунт,Բունտ,Carie
Birthplace,Место рождения,Ծննդավայր,Lieu de naissance
Bodice,Лиф,Կրծքագեղձ,Corsage
Blade,Лезвие,Սայր,Lame
Belief,Вера,Հավատք,La croyance
Bilge,трюм,Բիլգե,Fond de cale
Basketball,Баскетбол,Բասկետբոլ,Basket-ball
Borax,бура,Բորաքս,Borax
Benefactor,Благодетель,Բարերար,Bienfaiteur
Bib,нагрудник,բիբ,Bavoir
Bond,Связь,Բոնդ,Obligation
Bin,Бин,Աղբարկղ,Poubelle
Barn,Сарай,Գոմ,Grange
Bauble,Безделушка,Բաբլ,Babiole
Beadle,Бидл,Բիդլ,Bedeau
Beau,Бо,Բո,beau
Brewery,пивоварня,Գարեջրի գործարան,Brasserie
Billion,миллиард,միլիարդավոր,Milliard
Bronchiole,бронхиола,Բրոնխիոլ,Bronchiole
Boa,Боа,Բոա,Boa
Blackjack,Блэк Джек,Blackjack,Blackjack
Blastdown,Взрыв,Blastdown,Abattage
Burnish,Полировка,Այրել,Polir
Bread,Хлеб,Հաց,Pain
Biologist,Биолог,Կենսաբան,Biologiste
Board,Доска,Վարչություն,Conseil
Bone,Кость,Ոսկոր,Os
Bishopry,епископство,Եպիսկոպոսություն,Évêché
Bijou,Бижу,Բիժու,Bijou
Beebread,перга,Մեղվի հաց,Pain d'abeille
Birdie,Птичка,Թռչուն,Birdie
Barnsful,Барнсфул,Բարնսֆուլ,grange
Bud,Бутон,Բուդ,Bourgeon
Blowup,Взрывать,Պայթեցնել,Exploser
Bindle,Биндл,Կապել,Relier
Brushfire,Щебень,Խոզանակի կրակ,Feu de broussailles
Babyhood,детство,Մանկություն,Petite enfance
Bend,Сгибать,Թեքեք,Plier
Bedazzlement,Ослепление,Շշմածություն,Éblouissement
Barnstormer,Барнстормер,Barnstormer,Orateur électoral
Burial,Погребение,Հուղարկավորություն,Enterrement
Bovine,Бычий,խոշոր եղջերավոր անասուն,Bovine
Bunter,Бантер,Բունտեր,Bunker
Bloke,парень,Բլոկե,Type
Bagpipe,Волынка,Պարկապզուկ,Cornemuse
Brilliance,Блеск,Պայծառություն,Éclat
Bureau,Бюро,Բյուրո,bureau
Behalf,От имени,անունից,Au nom de
Brethren,Братья,Եղբայրներ,Frères
Bridle,Уздечка,Սանձ,Bride
Balcony,Балкон,Պատշգամբ,Balcon
Billet,Заготовка,Բիլետ,Billet
Bell,Белл,Զանգ,Cloche
Beast,Зверь,Գազան,La bête
Byline,Автор,Byline,Byline
Butt,Задница,Հետույք,Bout
Birth,Рождение,Ծնունդ,Naissance
Badmen,Плохие люди,Բադմեն,Les méchants
Beech,Бук,Հաճարենի,Hêtre
Banjo,Банджо,Բանջո,Banjo
Boon,Благо,Բարություն,Aubaine
Boar,Кабан,Վարազ,Sanglier
Boycott,Бойкотировать,Բոյկոտ,Boycotter
Bluff,Блеф,Բլեֆ,Bluffer
Blue-Ribbon,Голубая лента,Կապույտ-ժապավեն,Ruban bleu
Bewitchment,Колдовство,Կախարդություն,Ensorcellement
Booboo,бубу,Booboo,Bobo
Buffet,"Шведский стол, буфет",Ճաշարան,Buffet
Body,Тело,Մարմին,Corps
Biz,бизнес,Բիզ,Affaires
Bridge,Мост,Կամուրջ,Pont
Bent,Бент,Կռացած,Courbé
Broom,Метла,ցախավել,Balai
Bouquet,Букет,Ծաղկեփունջ,Bouquet
Bluebush,Голубой куст,Կապույտ բուշ,Bluebush
Booby,олуша,Բոբի,Nigaud
Bully,Терроризировать,Կռվարար,Brute
Berry,Ягода,Բերի,Baie
Bomb,Бомбить,Ռումբ,Bombe
Boyhood,Отрочество,Պատանեկություն,Enfance
Bunker,Бункер,Բունկեր,Bunker
Banshee,банши,Բանշի,Banshee
Beryllium,Бериллий,Բերիլիում,Béryllium
Beefsteak,Стейк из говядины,Տավարի սթեյք,Steak de bœuf
Breakage,Поломка,Կոտրվածք,Rupture
Brad,Брэд,Բրեդ,Brad
Brachii,Брахи,Brachii,Brachii
Bellyfull,Живот,Փորոտ,Ventre plein
Bottleneck,Узкое место,Շեղանցք,Goulot
Bod,Бод,Բոդ,Bod
Bedtime,Перед сном,Քնելու ժամ,Heure du coucher
Backup,Резервный,Կրկնօրինակում,Sauvegarde
Bearer,Предъявитель,կրող,Porteur
Barbell,Штанга,Barbell,Haltère
Bear,Медведь,Արջ,Ours
Brand,Бренд,Ապրանքանիշը,Marque
Benefactress,благодетельница,Բարերարուհի,Bienfaitrice
Bustle,Суета,եռուզեռ,Agitation
Bar,Бар,Բար,Bar
Blouse,Блузка,Բլուզ,Chemisier
Baton,Батон,Բաթոն,Bâton
Brocade,Парча,Բրոկադ,Brocart
Barge,Баржа,Բարձ,Barge
Bath,Ванна,Բաղնիք,Bain
Bedroom,Спальня,Ննջասենյակ,Chambre à coucher
Bubbly,пузырьковый,Փրփրացող,Pétillant
Butane,Бутан,Բութան,Butane
Beaker,Стакан,Բաժակ,Gobelet
Bureaucracy,Бюрократия,Բյուրոկրատիա,Bureaucratie
Bellboy,посыльный,Բելբոյ,Groom
Brawl,Драка,Ծեծկռտուք,Bagarre
Bromphenol,бромфенол,Բրոմֆենոլ,Bromophénol
Bootlegger,Бутлегер,Բոտլեգեր,Bootlegger
Burn,Гореть,Այրվել,Brûler
Bough,Ветка,Ծառ,Branche
Banner,Баннер,Բաններ,Bannière
Ballet,Балет,Բալետ,Ballet
Bristle,Щетина,Խոզանակ,Poil
Behind,Позади,Հետևում,Derrière
Burl,Берл,Բուրլ,Loupe
Borough,Район,Բորո,Arrondissement
Bazaar,Базар,Բազար,Bazar
Boxer,Боксер,Բռնցքամարտիկ,Boxeur
Bugler,горнист,Բագլեր,Clairon
Bean,Бин,Լոբի,Haricot
Boiler,Котел,Կաթսա,Chaudière
Boy,Мальчик,Տղա,Garçon
Biennial,Биеннале,Բիենալե,Biennal
Base,База,Հիմք,Base
Bunch,Связка,Փունջ,Groupe
Bridal,свадебный,Հարսանեկան,De mariée
Bile,Желчь,Մաղձ,Bile
Benefit,Польза,Օգուտ,Bénéfices
Brig,Бриг,Բրիգ,Brick
Ballyhooey,Баллихуи,Ballyhooey,Ballyhooey
Battlefield,Поле боя,Մարտադաշտ,Champ de bataille
Condescension,снисходительность,Խոնարհում,Condescendance
Contortion,искривление,Կծկում,Contorsion
Crudity,Грубость,Կոպտություն,Crudité
Compendium,Компендиум,Համառոտագիր,Compendium
Clang,лязг,Ճնչել,Bruit
Calf,Телец,Հորթ,Veau
Chef,шеф-повар,խոհարար,Chef
Copra,Копра,Կոպրա,Copra
Carbon,Углерод,Ածխածին,Carbone
Carbonyl,карбонил,Կարբոնիլ,carbonyle
Contradistinction,Противопоставление,Հակասություն,Distinction
Clock,Часы,Ժամացույց,Horloge
Catalyst,Катализатор,Կատալիզատոր,Catalyseur
Chortle,хихикать,Չորթլե,Gloussement
Chaise,шезлонг,Շեյզ,Cabriolet
Childbirth,Роды,Ծննդաբերություն,Accouchement
Clockwork,Заводной,Ժամացույցի մեխանիզմ,Mouvement d'horlogerie
Commander,Командир,Հրամանատար,Le commandant
Capstan,Кабестан,Կապստան,Cabestan
Craftsman,Ремесленник,Արհեստավոր,Artisan
Counterproposal,Встречное предложение,Հակառարկ,Contre-proposition
Chaulmoogra,Чаулмугра,Չաուլմոգրա,Chaulmoogra
Cobra,Кобра,Կոբրա,Cobra
Capita,Капита,Բնակչություն,Tête
Cabaret,Кабаре,Կաբարե,Cabaret
Contest,Конкурс,Մրցույթ,Concours
Case,Случай,Գործ,Cas
Century,Века,դար,Siècle
Critic,Критик,Քննադատ,Critique
Contrition,раскаяние,Զղջում,Contrition
Capitalism,Капитализм,Կապիտալիզմ,Capitalisme
Consumption,Потребление,Սպառումը,Consommation
Carpenter,Плотник,Հյուսն,Menuisier
Colt,Кольт,Քոլտ,Poulain
Crawl,Ползти,Սողալ,Crawl
Claw,Коготь,Ճանկ,Griffe
Conveyor,конвейер,Փոխակրիչ,Convoyeur
Crepe,Креп,Կրեպ,Crêpe
Cardinal,Кардинал,Կարդինալ,Cardinal
Coadjutant,Коадъютант,Կոադյուտանտ,Coadjudant
Clubhouse,Клубный дом,Ակումբանոց,Club-house
Committeewoman,член комитета,Հանձնաժողովի անդամ,Comitewoman
Chambermaid,Горничная,Պալատի սպասուհին,Femme de chambre
Corrupter,Развратитель,Կոռուպցիոներ,Corrupteur
Collector,Коллектор,Կոլեկցիոներ,Collectionneur
Concerti,Концерты,Համերգներ,Concerti
Condenser,Конденсатор,Կոնդենսատոր,Condenseur
Curse,Проклинать,Հայհոյել,Malédiction
Contemporary,Современный,Ժամանակակից,Contemporain
Castigation,наказание,Դատապարտում,Fustigation
Calligraphy,Каллиграфия,Կալիգրաֆիա,Calligraphie
Chicken,Курица,Հավ,Poulet
Compatability,Совместимость,Համատեղելիություն,Compatibilité
Consent,Согласие,Համաձայնություն,Consentement
Courtship,Ухаживание,Սիրատիրություն,Cour
Chartroom,График,Chartroom,Salle des cartes
Commuter,пригородный,Ուղևոր,Banlieusard
Celebrator,Празднующий,Տոնակատար,Célébrateur
Carpet,Ковровая дорожка,Գորգ,Tapis
Cardamom,Кардамон,Հիլ,Cardamome
Cost,Расходы,Արժեքը,Coût
Cripple,Калека,Հաշմանդամ,Paralyser
Clip,Клип,Տեսահոլովակ,Agrafe
Coyote,Койот,Կոյոտ,Coyote
Coup,переворот,Հեղաշրջում,Coup
Coiner,Койнер,Մետաղադրամ,Monnayeur
Catch,Ловить,Բռնել,Capture
Capacitance,Емкость,Տարողունակություն,Capacitance
Cradle,Колыбель,Օրորոց,Berceau
Closet,Шкаф,Պահարան,Le placard
Crest,Крест,Crest,Crête
Copy,Копировать,Պատճենել,Copie
Confessor,Исповедник,Խոստովանահայր,Confesseur
Crowbait,приманка,Քրոուբեյթ,Crowbait
Cannery,консервный завод,Պահածոների գործարան,Conserverie
Conductivity,проводимость,Հաղորդունակություն,Conductivité
Courtesan,куртизанка,Կուրտիզանուհի,Courtisane
Chouise,Выбор,Ընտրություն,Choisis
Conduct,Провести,Վարքագիծ,Conduire
Consummation,Завершение,Սպառում,Accomplissement
Corrosion,Коррозия,Կոռոզիա,Corrosion
Communion,Причастие,Հաղորդություն,communion
Corporal,капрал,Կապրալ,Corporel
Commodity,Товар,Ապրանքային,Produit de base
Conclave,Конклав,Կոնկլավ,Conclave
Cumara,Кумара,Կումարա,Cumara
Crusher,Дробилка,Ջարդիչ,Broyeur
Cart,Корзина,Սայլակ,Chariot
Coffeecup,Чашка кофе,Սուրճի բաժակ,Tasse à café
Catheter,Катетер,Կաթետեր,Cathéter
Crown,Корона,Պսակ,Couronner
Cloud,Облако,Ամպ,Nuage
Crewel,Крюэл,Կրուել,Laine
Correction,Коррекция,Ուղղում,Correction
Calorimeter,Калориметр,Կալորիմետր,Calorimètre
Copper,Медь,Պղինձ,Le cuivre
Carriage,Перевозка,Կառք,Le chariot
Confidence,Уверенность,Վստահություն,Confiance
Commission,Комиссия,հանձնաժողով,Commission
Concealment,Сокрытие,Քողարկում,Dissimulation
Colloquy,Разговор,Ժողովրդական խոսակցություն,Colloque
Cooler,Кулер,Հովացուցիչ,Glacière
Compressibility,Сжимаемость,Սեղմելիություն,Compressibilité
Cavalrymen,Кавалеристы,Հեծելազորներ,Cavaliers
Circumlocution,многословие,Շրջանառություն,Périphrase
Cadenza,Каденция,Cadenza,Cadence
Coordinator,Координатор,Համակարգող,Coordinateur
Chlorpromazine,Хлорпромазин,Քլորպրոմազին,Chlorpromazine
Conjunction,Соединение,զուգակցում,Conjonction
Cilia,Реснички,Կիլիա,Cils
Catkin,Серёжка,Կատկին,Chaton
Chomp,Чавкать,Չոմպ,Chomp
Capsule,Капсула,Պարկուճ,Capsule
Concertmaster,Концертмейстер,կոնցերտմայստեր,violon solo
Camera,Камера,Տեսախցիկ,Caméra
Configuration,Конфигурация,Կոնֆիգուրացիա,Configuration
Coverlet,Покрывало,Ծածկոց,Couverture
Chosen,Выбранный,Ընտրված,Choisi
Crowd,Толпа людей,Բազմություն,Foule
Conservation,Сохранение,Պահպանություն,Conservation
Commotion,волнение,իրարանցում,Agitation
Ceo,Исполнительный директор,Գործադիր տնօրեն,PDG
Chow,Чау,Չաու,Bouffe
Cytoplasm,Цитоплазма,Ցիտոպլազմ,Cytoplasme
Children,Дети,Երեխաներ,Enfants
Concessionaire,концессионер,Կոնցեսիոներ,Concessionnaire
Chemical,Химическая,Քիմիական,Chimique
Christmas,Рождество,Սուրբ Ծնունդ,Noël
Cupful,чашка,Բաժակ,Tasse
Conveyance,Транспорт,Փոխադրում,Transport
Congestion,Скопление,Խցանումներ,Congestion
Cinema,Кинотеатр,Կինո,Cinéma
Curve,Изгиб,Կոր,Courbe
Carrot,Морковь,Գազար,Carotte
Complement,Дополнение,Լրացում,Complément
Cubist,Кубист,կուբիստ,Cubiste
Cosmopolitanism,Космополитизм,Կոսմոպոլիտիզմ,Cosmopolitisme
Chiropractor,Мануальный терапевт,Chiropractor,Chiropracteur
Chlorine,хлор,Քլոր,Chlore
Creeper,Крипер,Սողացող,Léche-botte
Competition,Конкуренция,Մրցույթ,Concours
Community,Сообщество,Համայնք,Communauté
Comportment,Поведение,Համապատասխանություն,Comportement
Clique,Клика,Կլիկա,Clique
City,Город,Քաղաք,Ville
Correlation,Корреляция,Հարաբերակցություն,Corrélation
Collapse,Крах,Փլուզում,S'effondrer
Connexion,Связи,Միացում,Rapport
Courthouse,Здание суда,Դատարանի շենք,Tribunal
Catechism,Катехизис,Կատեխիզիս,Catéchisme
Capsicum,стручковый перец,կծու պղպեղ,latin
Convenience,Удобство,Հարմարավետություն,Commodité
Calculi,исчисления,Հաշվարկներ,Calculs
Composure,Самообладание,Հանդարտություն,Calme
Corsage,Корсаж,Կորսաժ,Corsage
Cession,уступка,զիջում,La cession
Critique,Критика,Քննադատություն,La critique
Columnist,Обозреватель,Սյունակագիր,Journaliste
Cluck,кудахтать,Կլակ,Glousser
Cabbage,Капуста,Կաղամբ,Chou
Convention,Соглашение,համագումար,Convention
Commerce,коммерция,Առեւտուր,Commerce
Confidentiality,Конфиденциальность,Գաղտնիություն,Confidentialité
Cocoon,Кокон,Կոկոն,Cocon
Calendar,Календарь,Օրացույց,Calendrier
Conductor,Дирижер,Դիրիժոր,Conducteur
Chute,Лоток,Սայթաքել,Chute
Coalition,Коалиция,Կոալիցիա,Coalition
Concrete,Конкретный,Բետոն,Béton
Clarity,Ясность,Պարզություն,Clarté
Credulity,Доверчивость,Դյուրահավատություն,Crédulité
Companionway,Сопутствующий путь,Companionway,Descente
Clod,Ком,Կլոդ,Motte de terre
Cottonseed,Хлопковое семя,Բամբակի սերմ,Graine de coton
Credit,Кредит,Վարկ,Le crédit
Consternation,Ужас,Զարհուրանք,Consternation
Cadre,кадры,Կադր,Cadre
Catastrophe,Катастрофа,Աղետ,Catastrophe
Centre,Центр,Կենտրոն,Centre
Chantey,Чанти,Չանտեյ,Chanson de marin
Chop,Нарезать,Մանրացնել,Hacher
Complicity,Соучастие,Մեղսակցություն,Complicité
Catchup,Настигнуть,Հասնել,Rattraper
Calico,Калико,Կալիկո,Calicot
Comic,комикс,Կատակերգություն,Bande dessinée
Cousin,Двоюродная сестра,զարմիկ,Cousine
Calorie,Калорийность,Կալորիականություն,Calorie
Chain,Цепь,Շղթա,Chaîne
Cleat,бутсы,Կտրուկ,Taquet
Chairmanship,Председательство,Նախագահություն,Présidence
Compromise,Компромисс,Փոխզիջում,Compromis
Curator,Куратор,Համադրող,Conservateur
Conservatism,Консерватизм,Պահպանողականություն,Conservatisme
Croak,Квакать,Կռուկ,Crever
Cadet,кадет,Կադետ,Cadet
Coconut,Кокос,Կոկոս,Noix de coco
Commercial,Коммерческий,Կոմերցիոն,Commercial
Chalk,Мел,Կավիճ,Craie
Caravan,Караван,Քարավան,Caravane
Coast,Побережье,Ափ,Côte
Circle,Круг,Շրջանակ,Cercle
Classmate,Одноклассник,Դասընկեր,Camarade de classe
Consolidation,Укрепление,Միավորում,Consolidation
Curvature,Кривизна,կորություն,Courbure
