English,Russian,French
smile,улыбка,le sourire
smoke,дымка,fumée
snow,снег,neiger
society,общество,société
sock,носок,chaussette
soft,мягкий,"mou, tendre"
software,программного обеспечения,Logiciel
soil,почвы,sol
solid,твердый,solide
solution,решение,la solution
somewhere,где-то,quelque part
son,сын,fils
song,песня,chanson
sort,Сортировать,trier
sound,звук,du son
soup,суп,le potage
source,источник,la source
south,юг,sud
space,пространство,espace
spare,запасной,de rechange
speaker,оратор,conférencier
special,специальный,spécial
specialist,специалист,spécialiste
specific,специфический,spécifique
speech,речь,parole
speed,скорость,la rapidité
spell,орфографии,sort
spend,проводить,dépenser
spirit,дух,esprit
spiritual,духовный,spirituel
spite,злобно,dépit
split,расколоть,diviser
sport,спорт,sport
spot,место,endroit
spray,спрей,vaporisateur
spread,распространять,se propager
spring,весна,le printemps
square,площадь,carré
stable,стабильный,écurie
staff,сотрудники,Personnel
stage,сцена,organiser
stand,стоять,supporter
standard,стандартный,la norme
star,звезда,étoile
start,Начало,début
state,государство,Etat
statement,утверждение,déclaration
station,станция,station
status,статус,statut
stay,остаться,rester
steak,стейк,bifteck
steal,воровать,voler
step,шаг,marcher
stick,палка,coller
still,Все еще,toujours
stock,запас,Stock
stomach,желудок,estomac
stop,остановка,arrêt
storage,хранилище,stockage
store,хранить,boutique
storm,буря,tempête
story,история,histoire
strain,напряжение,souche
stranger,незнакомец,étranger
strategy,стратегия,stratégie
street,улица,rue
strength,прочность,force
stress,стресс,stresser
stretch,протяжение,extensible
strike,забастовка,la grève
string,нить,chaîne de caractères
strip,полоска,déshabiller
stroke,Инсульт,accident vasculaire cérébral
structure,структура,structure
struggle,борьба,lutter
student,ученик,étudiant
studio,студия,studio
study,исследование,étude
stuff,вещи,des trucs
stupid,глупый,stupide
style,стиль,style
subject,предмет,matière
substance,вещество,substance
success,успех,Succès
suck,сосать,sucer
sugar,сахар,du sucre
suggestion,предложение,suggestion
suit,подходить,costume
summer,лето,été
sun,солнце,Soleil
supermarket,супермаркет,supermarché
support,поддерживать,Support
surgery,операция,opération
surprise,Сюрприз,surprendre
surround,окружение,entourer
survey,опрос,enquête
suspect,подозревать,suspect
sweet,сладкий,sucré
swim,плавать,baignade
swimming,плавание,natation
swing,качать,se balancer
switch,выключатель,changer
sympathy,сочувствие,sympathie
system,система,système
table,стол,table
tackle,снасти,s'attaquer à
tale,сказка,conte
talk,разговаривать,parler
tank,бак,Char
tap,нажмите,robinet
target,цель,cible
task,задача,tâche
taste,вкус,goûter
tax,налога,impôt
tea,чай,thé
teach,учить,apprendre
teacher,учитель,prof
teaching,преподавание,enseignement
team,команда,équipe
tear,рвать,larme
technology,технологии,La technologie
telephone,телефон,Téléphone
television,телевидение,télévision
tell,сказать,raconter
temperature,температура,Température
temporary,временный,temporaire
tennis,большой теннис,tennis
tension,напряжение,tension
term,срок,terme
test,тест,test
text,текст,texte
thanks,Благодарность,Merci
theme,тема,thème
theory,теория,la théorie
thing,вещь,chose
thought,мысль,pensait
throat,горло,gorge
ticket,проездной билет,billet
tie,галстук,cravate
till,пока,jusqu'à
time,время,temps
tip,кончик,pointe
title,заглавие,Titre
today,Cегодня,aujourd'hui
toe,палец,doigt de pied
tomorrow,завтра,demain
tone,тон,Ton
tongue,язык,langue
tonight,сегодня ночью,ce soir
tool,инструмент,outil
tooth,зуб,dent
top,Топ,Haut
topic,тема,sujet
total,общий,total
touch,трогать,toucher
tough,жесткий,dure
tour,тур,tour
tourist,турист,touristique
towel,полотенце,serviette
tower,башня,la tour
town,городок,ville
track,отслеживать,Piste
trade,торговля,Commerce
tradition,традиция,tradition
traffic,движение,Circulation
train,тренироваться,former
trainer,тренер,entraîneur
training,подготовка,entraînement
transition,переход,transition
transportation,транспорт,transport
trash,мусор,déchets
travel,путешествовать,voyager
treat,удовольствие,traiter
tree,дерево,arbre
trick,обманывать,tour
trip,путешествие,voyage
trouble,беда,difficulté
truck,грузовая машина,un camion
trust,доверять,confiance
truth,правда,vérité
try,пытаться,essayer
tune,мелодия,régler
turn,повернуть,tour
twist,крутить,tourner
two,два,deux
type,тип,taper
uncle,дядя,oncle
understanding,понимание,entente
union,союз,syndicat
unique,уникальный,unique
unit,Ед. изм,unité
university,Университет,université
upper,верхний,plus haut
upstairs,вверх по лестнице,en haut
use,использовать,utilisation
user,пользователь,utilisateur
usual,обычный,habituel
vacation,отпуск,vacances
valuable,ценный,de valeur
value,ценность,évaluer
variation,вариация,variation
variety,разнообразие,variété
vast,огромный,vaste
vegetable,овощ,légume
vehicle,средство передвижения,véhicule
version,версия,version
video,видео,vidéo
view,Посмотреть,voir
village,деревня,village
virus,вирус,virus
visit,посещать,visite
visual,визуальный,visuel
voice,голос,voix
volume,объем,le volume
wait,ждать,Attendez
wake,будить,se réveiller
walk,ходить,marche
wall,стена,mur
war,война,guerre
warning,предупреждение,Attention
wash,мыть,lavage
watch,смотреть,Regardez
water,вода,l'eau
wave,волна,vague
way,путь,façon
weakness,слабость,la faiblesse
wealth,богатство,richesse
wear,носить,usure
weather,погода,Météo
web,веб -,la toile
wedding,свадьба,mariage
week,неделя,la semaine
weekend,выходные дни,fin de semaine
weight,масса,lester
weird,странный,bizarre
welcome,добро пожаловать,accueillir
west,западный,Ouest
western,западный,occidental
wheel,рулевое колесо,la roue
whereas,тогда как,tandis que
while,пока,tandis que
white,белый,blanche
whole,весь,ensemble
wife,жена,épouse
will,будут,sera
win,победить,gagner
wind,ветер,vent
window,окно,la fenêtre
wine,вино,vin
wing,крыло,aile
winner,Победитель,gagnant
winter,зима,l'hiver
wish,желание,souhaiter
witness,свидетель,témoin
woman,женщина,femme
wonder,удивляться,merveille
wood,древесина,bois
word,слово,mot
work,Работа,travailler
worker,работник,ouvrier
working,работающий,travail
world,Мир,monde
worry,волноваться,inquiétude
worth,стоит,la peine
wrap,сворачивать,envelopper
writer,писатель,écrivain
writing,пишу,l'écriture
yard,площадка,cour
year,год,an
yellow,желтый,jaune
yesterday,вчерашний день,hier
you,ты,tu
young,молодой,Jeune
youth,молодежь,jeunesse
zone,зона,zone
